1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
,,,,abloquer,"cadencer, I,T","bauger,P","engrener,T.","précéder, T...... 10","canneler, T",,"maugréer L, Y","siéger, I...",,"capeyer,l.",,,"défraîchir, T ...... 19",,,venir,,sortir,,,,,,,,,,,,,,,,,,,,,,,,,,,,dépendre,surprendre,,réadmettre,enfreindre,,,,,surfaire,,transparaître,,,,,,,,,,,,,,,,transcrire,,réduire
,,,,abominer,"carencer,","bouger, I,T, P","gangrener, T, P","procéder, L,","capeler, T",,"nucléer, T",assiéger,,"carroyer, T",,,"désassortir, T..... 19",,,advenir,,ressortir,,,,,,,,,,,,,,,,,,,,,,,,,,,,rependre,,,remettre,feindre,,,,,,,,,,,,,,,,,,,,,,,,,réintroduire
,,,,abonder,"cercler, T.","boulanger, I,T","grener, I,T","rétrocéder, T.","canneler,",,"procréer, T....... 13",,,"charroyer,T",,,"désépaissir, T..... 19",,,circonvenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suspendre,,,retransmettre,geindre,,,,,,,,,,,,,,,,,,,,,,,,,reproduire
,,,,abonner,"cerner, T","bridger, I..","malmener,T","succéder,","capeler,",,"ragréer, T",,,"chatoyer, I",,,"dését?blir, T...... 19",,,contrevenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tendre,,,soumettre,teindre,,,,,,,,,,,,,,,,,,,,,,,,,retraduire
,,,,aborder,"certifier, T.",calorifuger. T,"mener,","blasphémer, I,T","carreler, T",,"regréer, T........ 13",,,"choyer, T..",,,"désinvestir, T..... 19",,,convenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attendre,,,transmettre,déteindre,,,,,,,,,,,,,,,,,,,,,,,,,séduire
,,,,aboucher,"coincer, T, P","calorifuger, T","promener, T,P... 9","crémer,I","celer, T",,"suppléer,",,,"convoyer, T",,,"embellir, L, O,TP . 19",,,devenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,détendre,,,,éteindre,,,,,,,,,,,,,,,,,,,,,,,,,traduire
,,,,abraser,"commencer, l,T,P 7","centrifuger, T","ramener, T, P","écrémer, T.","chanceler,",,"toréer,|.",,,"corroyer, T....... 17",,,"enlaidir, I,O.T.P... 19",,,disconvenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,distendre,,,,reteindre,,,,,,,,,,,,,,,,,,,,,,,,,construire
,,,,abreuver,"commercer, I","challenger, T","rengrener,T","caréner,","chapeler, T",,,,,"côtoyer, T.",,,"ennoblir, T....... 19",,,intervenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,détruire
,,,,abricoter,"concerner, T......  ","changer, I,0.T,P.8","remmener, T..","créner, T","ciseler, T",,,,,"coudoyer, 1",,,"enorgueillir, T, p... 19",,,obvenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,étendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instruire
,,,,abriter,"concerter, I, T, P...  ","colliger, T","surmener, T, P...","désaliéner, T...... 10","congeler, T, P.",,,,,"déblayer, T",,,"époutir, T........ 19",,,parvenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prétendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reconstruire
,,,,absenter,"concurrencer, T",converger I,"repercer, T","désénerver, T","cordeler, T....... 11",,,,,"débrayer, T..",,,"équarrir, T........ 19",,,prévenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"retendre,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,luire
,,,,absorber,"contrebalancer, T... 7","corriger, T, P.... 8","reperdre,","déshydrogéner, T.. 10","craqueler, T, P.",,,,,"défrayer, T....... 1 ",,,"esbaudir, P....... 19",,,provenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sous-entendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reluire
,,,,abuser,"courroucer, T, P","décharger,I,T,P. 8",reperdre,désoxygéner. T,"créneler, T.",,,,,"dégravoyer, T.",,,"étourdir, T, P...... 19",,,redevenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sous-tendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuire
,,,,acangander,"décercler,T.","dócourager,T,P. 8",désalterer.,"morigéner, T..","cuveler,",,,,,"dérayer, I,T.",,," évaporer 1, P.... 19",,,ressouveni ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entre-nuire
,,,,accabler,"décerner,T","dédommager, T, P","liserer,","oxygéner, T, P..... 10","débosseler, T..... 11",,,,,"déployer, T, P",,,"grandir. I, O,T, P.. 19",,,revenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mévendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,accaparer,"décoincer, T","défiger, T",peser,"rasséréner, T, P.... 10","décapeler, T",,,,,"désembrayer, T.... 1 ",,,"grossir, I,O, T.... 19",,,souvenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,revendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,jouer,"déconcerter, T","dégager, T,P .","désempeser, T","refréner, T.","décarreler, T, P",,,,,"désennuyer,",,,"guérir, I, T, P..... 19",,,subvenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,épandre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"décontenancer,T,P","dégermer, 1..","empeser, T","réfréner, T.","déficeler, T....... 11",,,,,"désenrayer,",,,"*hourdir, T....... 19",,,survenir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,répandre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"dédicacer,","dégorger, I,T..","peser, I,T","rengréner, T...... 10","dégeler,I, O,T.",,,,,"dévoyer, T, P.",,,"infléchir, T, P.,.,, 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fondre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"défoncer, T, P..... 7","départager, T","soupeser,","réverbérer, T, P..","dépuceler, T",,,,,"drayer, T.",,,"intervertir, T...... 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confondre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"défroncer,","dérager,",achever,accelérer,"désensorceler, T.",,,,,"effrayer,",,,"obscurcir, T P... 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morfondre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"déglacer, T.","déranger, T, P.","bouleverser, T.",acérer,"dételer, T...",,,,,"égayer, T, P.",,,"pourrir, I,,T, P.. 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parfondre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"dépecer, T..","déroger,","champlever, T",aciérer,"détonneler,",,,,,"embrayer, T",,,"raccourcir, I, T, P 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refondre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"désagencer, T..... 7","désagréger, T, P... 14","crever, I, 0, T, P.",adhérer,"écarteler,",,,,,"employer, T, P,",,,"raffermir, T, P ..... 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pondre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"désamorcer, T","désavantager, T","dégrever, T...",adultérer,"écheveler, T",,,,,"ennuyer, T, P.... 17",,,"raplatir, T........ 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,répondre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"déplacer, T. F","désengager,","élever, T, P",afférer,"drapeler, T",,,,,"enrayer, T, P",,,"rapointir, T....... 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corespondre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"désenlacer, T","désengorger, T.... 8","embrever,",agglomérer,"embotteler, T",,,,,"envoyer, T, P",,,"r(é)assortir, T..... 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tondre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"devancer, T..","désobliger,","enlever, T, P..... 9","avérer, T, P","embreler, T.",,,,,"éployer, T, P...... 17",,,"reblanchir, T...... 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retondre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"discerner,","déterger, T...","grever,","blatérer, T.","encasteler, R.",,,,,"érayer, T",,,"rebondir, l........ 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perdre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"distancer, T.","dévisager,","lever,I,T, P","chérer, -","engrumeler, T, P.",,,,,"essayer, T, P",,,"réinvestir, T....... 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reperdre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"divorcer,","diriger, T, P","parachever, T","commérer, ... .. 10","enjaveler,",,,,,"essuyer, T, P..",,,"rejaillir, 1......... 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mordre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"écorcer,","diverger, I.","prélever, T.","conférer, I, T...... 10","ensorceler, T..",,,,,"étayer, T,P.""  ",,,"rójouir, T, P...... 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,démordre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"effacer, T, P","échanger, T","relever,","conglomérer, T. ...","épanneler, T.",,,,,"festoyer, I,T, P",,,"rembrunir, T, P.... 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,remordre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"efforcer,","effranger,","reverdir, I, T","considérer, T...","épeler, T, P",,,,,"flamboyer,I.",,,"resplendir, |...... 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tordre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"élancer, I, T, P.","égorger, T, P","reverser, T.","coopérer, à ...... 10","épinceler, T..",,,,,"fossoyer,T",,,"ressaisir, T, P...... 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,détordre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"émincer, T.","égruger, T.","souchever, T.","déblatérer, I,","étinceler, -",,,,,"foudroyer, T",,,"surenchérir, I..... 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,distordre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"encercler, T.","élonger, T","soulever,.T, P.","décélérer, 1 ... E 10","ficeler, T ..",,,,,fourvoyer,,,"ternir, I, T, P....... 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retordre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"enfoncer, I, T, P.","émarger,","surélever, T","décolérer, |....... 10","fuseler,",,,,,"frayer, I,T, P ..",,,"travestir, T, P...... 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rompre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"englacer, T.","émerger, .","complexer, T","déférer,"".o. 10","geler, I, il, T, P",,,,,"giboyer, T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corrompre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"engoncer,","emmarger, T.","décomplexer,","dégénérer, 1, 0 ...","greneler,",,,,,"grasseyer, I......  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,interompre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"enjoncer, T","emménager, I, T.","désannexer,","dépoussiérer, T","griveler, I, T....... 11",,,,,"guerroyer, |....... 17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foutre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"enlacer, T, P...... 7","encager,","duplexer,","désespérer, I,T,P. 10","grommeler, I, T.... 11",,,,,"*hongroyer, T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,contrefoutre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"énoncer, T, P.. .... 7","engager, T, P",,"digérer, T, P","grumeler, P....... 11",,,,,"monnayer, T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ensemencer, T","engerber, T.",,"dilacérer, T","*harceler, T.... 11.",,,,,"merdoyer, I.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"entrelacer, T, P.... 7","engorger, T, P.","multiplexer, T.","empoussiérer, T, P","marteler, T",,,,,"nettoyer, T...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"épicer,T","engranger, T.,","vexer, T. P.","enstérer, T..","modeler, T, P.",,,,,"noyer, T, P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"épincer, -","enneiger, T.",,"énumérer, T","morceler, T. .",,,,,"octroyer, T, P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"épucer, T...","ennuager, T,P",,"espérer, I, T","museler, T.",,,,,"ondoyer, I, T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"espacer, T, P.","enrager, -",,"exagérer, I, T, p","nickeler, T.",,,,,"pagayer, I..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"évincer, T.","encourager, T",,"exaspérer, T, P.... 10","niveler, T...",,,,,"payer, I,T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"exacerber, T, P","endommager, T",,"exonérer, T","paisseler,",,,,,"ployer,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"exaucer, T.","entrégorger, P .",,"fédérer, T, P.","panteler, I.",,,,,"poudroyer, I..... 17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"exercer, I, T, P.","entre-manger,",,"générer, T.","oiseler, I, T",,,,,"rayer, T, P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"foncer, I,T","enverger, T.",,"gérer, T..","peler, I,T, P.",,,,,"rejointoyer, T....: 17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"forcer, I, T, P...","envisager, T",,,"  pommeler, P.",,,,,"relayer,1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"fiancer, T, P.","éponger, T, P",,"invétérer, P. ...","rappeler, I, T, P... 11",,,,,"remblayer, T...... 1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"financer, I, T","ériger, T, P,",,"itérer,","râteler, T",,,,,"renvoyer, T, P.... 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"forlancer, T.,","essanger, T.",,"libérer, T, P","regeler, ilT.",,,,,"repayer, T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"froncer, T","étager, T, P",,"lisérer,","renouveler, T, P.. 11",,,,,reployer. T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"garancer, T","étalager, T.",,"lacérer, T.","ressemeler, T..... 11",,,,,"remployer, T..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"gercer, 1, T, P.","exiger, T",,"légiférer,","ruisseler, I.",,,,,"ressuyer, T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"glacer, I, il,T, P...","expurger, T.",,"maniérer, T....... 10","taveler, T F",,,,,"rougeoyer,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"grimacer,I, T.","figer, I,T, P",,"macérer, I, T",acheter,,,,,"rudoyer, T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"grincer, I.","forger, I,T, P.",,"modérer, T, P",jeter,,,,,"soudoyer, T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"indicer, T. ...","fouger, ( ..",,"obérer, T,","becqueter, T",,,,,"surpayer, T. ..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"influencer, T......","fourrager, I, T",,"oblitérer, T....... 10","banqueter,",,,,,"tournoyer, -",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"immiscer, P.","franger, L",,"obtempérer, l, à ... 10","baqueter, T.",,,,,"tutoyer, T, P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"matricer, T","frigorifuger, T.",,"opérer, I,T.P","bégueter,",,,,,"verdoyer, I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"mordancer, T","fumiger, T.",,"persévérer,","béqueter,",,,,,"vousoyer, T, P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"menacer, I, T","fustiger, T.",,"pestiférer,","breveter, T",,,,,"voussoyer, T, P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"merceriser, T.","gager, T...",,"pondérer, T. .","briqueter, T.",,,,,"vouvoyer, T, P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"nuancer, T","gamberger, I, T.",,"préférer, ^","caleter,",,,,,payer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"opiacer, T.","gerber, I,T",,"proférer, T........ 10","cacheter, T",,,,,broyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ordonnancer,","gercer, 1, T, P.",,"proliférer, I....... 10","cailleter,",,,,,envoyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"percer, I,T","germaniser,'T",,"prospérer, I..","caleter, l, P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"pincer,T...:","germer, J",,"référer,","cacheter, T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"pioncer,","goberger, P.",,"réfrigérer, T..","cailleter,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"placer, T, P","gorger, T, P",,régénérer. T,"caqueter, -",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"policer, T.",grillager. T,,"réincarcérer, T.... 10","chevreter, I.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"poncer, T","gruger, T......... 8",,"réinsérer, T, P..... 10","claqueter, 1....... 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"préfacer, T","hydrofuger, T.",,"réitérer, T, P....... 10","cliqueter, -",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"prononcer, I,T,P","infliger, T.à......-",,"réopérer, T....... 10","colleter, T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"quittancer, T...... 7","ignifuger, T...",,"repérer, T, P.","coqueter,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"rapiécer, T..","imager, T.....",,"rémunérer, T.","craqueter,I.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
